종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
005945,NH투자증권우,"8,650","-30","0.35","8,650","8,640","50,690","436,659,130","8,680","8,720","8,570","5,000",원(KRW),"18,870,968","163,233,873,200",
034310,NICE,"19,950","-550","2.68","20,100","19,950","41,471","833,333,000","20,500","20,500","19,950","500",원(KRW),"37,882,300","755,751,885,000",
030190,NICE평가정보,"15,800","400","2.60","15,800","15,750","147,735","2,306,509,400","15,400","15,850","15,200","500",원(KRW),"60,714,820","959,294,156,000",
008260,NI스틸,"2,305","-25","1.07","2,305","2,300","47,453","108,957,705","2,290","2,335","2,270","500",원(KRW),"28,600,117","65,923,269,685",
004250,NPC,"3,800","55","1.47","3,800","3,780","11,993","45,033,065","3,745","3,815","3,685","500",원(KRW),"36,720,000","139,536,000,000",
004255,NPC우,"2,255","-15","0.66","2,255","2,250","1,701","3,844,290","2,265","2,265","2,255","500",원(KRW),"5,280,000","11,906,400,000",
010060,OCI,"69,200","700","1.02","69,200","69,100","70,837","4,860,740,600","68,500","69,500","67,000","5,000",원(KRW),"23,849,371","1,650,376,473,200",
024940,PN풍년,"2,305","50","2.22","2,315","2,305","312,354","732,910,900","2,230","2,450","2,230","500",원(KRW),"10,000,000","23,050,000,000",
005490,POSCO,"208,500","0","0.00","209,000","208,500","118,792","24,858,124,000","207,500","211,000","207,500","5,000",원(KRW),"87,186,835","18,178,455,097,500",
218410,RFHIC,"28,050","-400","1.41","28,100","28,050","320,898","8,969,172,100","28,500","28,750","27,600","500",원(KRW),"23,542,702","660,372,791,100",
091340,S&K폴리텍,"5,530","-150","2.64","5,580","5,530","254,446","1,431,645,900","5,680","5,820","5,530","500",원(KRW),"11,703,721","64,721,577,130",
100840,S&TC,"16,750","300","1.82","16,950","16,750","73,469","1,237,324,100","16,350","17,250","16,200","500",원(KRW),"7,506,711","125,737,409,250",
064960,S&T모티브,"48,800","-1,400","2.79","48,900","48,800","42,351","2,076,036,750","49,950","50,400","48,550","5,000",원(KRW),"14,623,136","713,609,036,800",
003570,S&T중공업,"6,140","50","0.82","6,140","6,110","8,936","54,157,650","6,110","6,140","6,040","2,500",원(KRW),"33,252,697","204,171,559,580",
036530,S&T홀딩스,"15,600","150","0.97","15,600","15,500","12,635","196,110,600","15,550","15,700","15,300","500",원(KRW),"16,303,886","254,340,621,600",
010950,S-Oil,"88,700","100","0.11","88,800","88,700","247,642","21,719,899,700","88,100","89,200","86,800","2,500",원(KRW),"112,582,792","9,986,093,650,400",
010955,S-Oil우,"54,600","-800","1.44","54,700","54,600","13,004","709,248,900","55,700","55,700","54,200","2,500",원(KRW),"4,021,927","219,597,214,200",
019550,SBI인베스트먼트,"658","0","0.00","662","658","153,944","101,071,718","650","663","647","500",원(KRW),"162,066,575","106,639,806,350",
